blockNumber,timeStamp,from,to,value,contractAddress,input,type,gas,gasUsed,isError,errCode,txType,txHash
11723231,1611556511,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x9ab97f88b18e20582c7696aa2e4682e644cb50d3,200000000000000000,,,call,4600,0,0,,acceptBid2,0x8132522b53c7c9ae5632976209434823f41d79662c06fe8879a0a4025642cf38
11725140,1611581215,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,10000000000000000,,,call,4600,0,0,,acceptBid2,0xff7bde58b9d056147406b379162981bf3940dd8e279e2594a7c3503e187df0cf
11725140,1611581215,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xac692a6a7a3fdc6fe60a256e02602ca3222859bc,90000000000000000,,,call,4600,0,0,,acceptBid2,0xff7bde58b9d056147406b379162981bf3940dd8e279e2594a7c3503e187df0cf
11726661,1611601320,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,199900000000000000,,,call,4600,0,0,,takeBuyPrice,0x97403dc942ab3dc1042187915c6bb4b0d6f738029a82720ced4848aa347b2871
11726661,1611601320,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xbd9b7373aac15d9a93c810df3999343f4fe1ed88,1999000000000000000,,,call,4600,0,0,,takeBuyPrice,0x97403dc942ab3dc1042187915c6bb4b0d6f738029a82720ced4848aa347b2871
11726661,1611601320,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x23c0bae29b2c92d90ebdf2b78ff86f1cb1bb667d,17791100000000000000,,,call,4600,0,0,,takeBuyPrice,0x97403dc942ab3dc1042187915c6bb4b0d6f738029a82720ced4848aa347b2871
11726662,1611601337,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,99900000000000000,,,call,4600,0,0,,takeBuyPrice,0x54c80fb18101d5d13d826c02bfae82382d23e0f7f148d2c4d03184921988c270
11726662,1611601337,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xf58d4bcf9bf4d30334dfed66d5d4db63147979b1,999000000000000000,,,call,4600,0,0,,takeBuyPrice,0x54c80fb18101d5d13d826c02bfae82382d23e0f7f148d2c4d03184921988c270
11726662,1611601337,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x23c0bae29b2c92d90ebdf2b78ff86f1cb1bb667d,8891100000000000000,,,call,4600,0,0,,takeBuyPrice,0x54c80fb18101d5d13d826c02bfae82382d23e0f7f148d2c4d03184921988c270
11726665,1611601380,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,199900000000000000,,,call,4600,0,0,,takeBuyPrice,0x5ea6c4b40233f55c8e6cd296dff2e7c1e303a96951c0817f4818c717f8372666
