galleryFee,artistFee,sellerFee,sale,timestamp,galleryPerc,artistPerc,sellerPerc
0.165,0.55,4.95,5.665,1598815018,2.91,9.71,87.38
0.00453,0.0151,0.1359,0.15553,1598831272,2.91,9.71,87.38
0.08737863,0.2912621,2.6213589,2.99999963,1598852245,2.91,9.71,87.38
0.027,0.09,0.81,0.927,1598874067,2.91,9.71,87.38
0.00453,0.0151,0.1359,0.15553,1598898538,2.91,9.71,87.38
0.24,0.8,7.2,8.24,1598980582,2.91,9.71,87.38
0.00728155339805826,0.0242718446601942,0.2184466019417478,0.2500000000000003,1599016605,2.91,9.71,87.38
0.0084,0.028,0.252,0.28840000000000005,1599016863,2.91,9.71,87.38
0.06,0.2,1.8,2.06,1599126016,2.91,9.71,87.38
0.0105,0.035,0.315,0.36050000000000004,1599235073,2.91,9.71,87.38
0.0087378640776699,0.029126213592233,0.262135922330097,0.29999999999999993,1599411990,2.91,9.71,87.38
0.00375,0.0125,0.1125,0.12875,1599414267,2.91,9.71,87.38
0.003,0.01,0.09,0.103,1599420279,2.91,9.71,87.38
0.04665,0.1555,1.3995,1.60165,1599424305,2.91,9.71,87.38
0.00546,0.0182,0.1638,0.18746,1599575480,2.91,9.71,87.38
0.00453,0.0151,0.1359,0.15553,1599575896,2.91,9.71,87.38
0.0066,0.022,0.198,0.2266,1599581868,2.91,9.71,87.38
0.05097,0.1699,1.5291,1.7499699999999998,1599616902,2.91,9.71,87.38
0.3,1.0,9.0,10.3,1599725422,2.91,9.71,87.38
0.06,0.2,1.8,2.06,1599726111,2.91,9.71,87.38
0.015,0.05,0.45,0.515,1599765362,2.91,9.71,87.38
0.01995,0.0665,0.5985,0.6849500000000001,1599777770,2.91,9.71,87.38
0.0135,0.045,0.405,0.4635,1599888289,2.91,9.71,87.38
0.1395145631067,0.465048543689,4.185436893201,4.7899999999967005,1599937031,2.91,9.71,87.38
0.135,0.45,4.05,4.635,1599939885,2.91,9.71,87.38
0.009,0.03,0.27,0.30900000000000005,1599941335,2.91,9.71,87.38
0.06,0.2,1.8,2.06,1600032788,2.91,9.71,87.38
0.02775,0.0925,0.8325,0.9527500000000001,1600109128,2.91,9.71,87.38
0.02775,0.0925,0.8325,0.9527500000000001,1600109276,2.91,9.71,87.38
0.025485,0.08495,0.76455,0.8749849999999999,1600110967,2.91,9.71,87.38
0.009,0.03,0.27,0.30900000000000005,1600134144,2.91,9.71,87.38
0.27,0.9,8.1,9.27,1600147267,2.91,9.71,87.38
